label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de
config_barcode_info,Vonalkód konfigurációs információk,Barcode Einstellung,Barcode instellingen,Información de Configuración de Código de Barras,Barcode Configuration Information,Barcode Configuration Information,Barcode Configuration Information,Barcode Configuration Information,ตั้งค่าบาร์โค้ด,Barcode Configuration Information,Barcode Configuration Information,Informação de configuração de códigos de barras,Informacija o barkod-ovima,Barcode Einstellung
config_barcode_layout,Vonalkód elrendezés,Barcode Layout,Barcode Layout,Presentación de Código de Barras,Barcode Layout,Barcode Layout,Barcode Layout,Barcode Layout,โครงร่างการพิมพ์,Barcode Layout,Barcode Layout,Layout Código de barras,Postavke barkod-a,Barcode Layout
config_barcode_name,Név,Name,Productnaam,Nombre,Name,Name,Name,Name,สินค้า,Name,Name,Nome,Naziv,Name
config_barcode_number,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,Cod. Barra,UPC/EAN/ISBN,UPC/EAN/ISBN
config_barcode_number_in_row,Szám a sorban,Nummer in Zeile,Aantal per rij,Número en la línea,Number in row,Number in row,Number in row,Number in row,จำนวนดวงใน 1 แถว,Number in row,Number in row,Número de linhas,Red.br.,Nummer in Zeile
config_barcode_page_cellspacing,Display page cellspacing,Zellenabstand auf Seite,Toon cellspatiëring,Mostrar espacios de celdas de página,Display page cellspacing,Display page cellspacing,Display page cellspacing,Display page cellspacing,ระยะห่างต่อดวง,Display page cellspacing,Display page cellspacing,Página de exibição espaçamento das células,Stranični prostor,Zellenabstand auf Seite
config_barcode_page_width,Display page width,Seitenbreite,Toon paginabreedte,Mostrar ancho de página,Display page width,Display page width,Display page width,Display page width,ความกว้างในหน้า,Display page width,Display page width,Largura da página de exibição,Širina stranice,Seitenbreite
config_barcode_price,Ár,Preis,Prijs,Precio,Price,Price,Price,Price,ราคา,Price,Price,Preço,Cijena,Preis
config_barcode_quality,Minőség (1-100),Qualität (1-100),Kwaliteit (1-100),Calidad (1-100),Quality (1-100),Quality (1-100),Quality (1-100),Quality (1-100),คุณภาพ (1-100),Quality (1-100),Quality (1-100),Qualidade (1-100),Kvalitet(1-100),Qualität (1-100)
config_barcode_second_row,Sor 2,Zeile 2,Rij 2,Fila 1,Row 2,Row 3,Row 4,Row 5,แถว 2,Row 7,Row 8,Linha 2,2.red,Zeile 2
config_barcode_third_row,Sor 3,Zeile 3,Rij 3,Fila 2,Row 3,Row 4,Row 5,Row 6,แถว 3,Row 8,Row 9,Linha 3,3.red,Zeile 3
config_barcode_type,Vonalkód tipus,Barcode Typ,Barcode Type,Tipo de Código de Barra,Barcode Type,Barcode Type,Barcode Type,Barcode Type,ประเภทบาร์โค้ด,Barcode Type,Barcode Type,Tipo de código de barras,Tip barkod-a,Barcode Typ
config_barcode_width,Szélesség (px),Breite (px),Breedte (px),Ancho (px),Width (px),Width (px),Width (px),Width (px),กว้าง (px),Width (px),Width (px),Largura (px),Širina (px),Breite (px)
config_barcode_generate_if_empty,Generáljon ha üres,Generiere Barcode wenn leer,Genereer indien leeg,Generar si esta vacio,Generate if empty,Generate if empty,Generate if empty,Generate if empty,Generate if empty,Generate if empty,Generate if empty,Gerar se vazio,Generiraj ako je prazno,Generiere Barcode wenn leer
config_bottom,Bottom,Bottom,Bottom,Bottom,Bottom,Bottom,Bottom,Bottom,Bottom,Bottom,Bottom,Inferior,Bottom,Bottom
config_center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center
config_company,Cégnév,Firmenname,Bedrijfsnaam,Nombre del Comercio,Company Name,Nome de l'Entreprise,公司名稱,Название Компании,ชื่อร้านค้า,Şirket Adı,Nama Perusahaan,Nome da empresa é um campo obrigatório,Naziv tvrtke,Firmenname
config_company_logo,Cég logó,Logo,Logo,Logotipo del Comercio,Company Logo,Company Logo,Company Logo,Company Logo,ภาพโลโก้,Company Logo,Company Logo,Logo,Logo tvrtke,Logo
config_company_select_image,Kép kiválasztása,Select Image,Select Image,Seleccionar Imagen,Select Image,Select Image,Select Image,Select Image,Select Image,Select Image,Select Image,Selecionar imagem,Odaberi logo,Bild auswählen
config_company_change_image,Kép cseréje,Change Image,Change Image,Cambiar Imagen,Change Image,Change Image,Change Image,Change Image,Change Image,Change Image,Change Image,Trocar imagem,Promijeni logo,Bild ändern
config_company_remove_image,Kép eltávolítása,Remove Image,Remove Image,Quitar Imagen,Remove Image,Remove Image,Remove Image,Remove Image,Remove Image,Remove Image,Remove Image,Remover imagem,Ukloni logo,Bild löschen
config_company_required,Cégnév kötelező mező,Firmenname ist erforderlich,De bedrijfsnaam moet ingevuld worden,Nombre del Comercio es requerido,Company name is a required field,Le nom d'entreprise est requis,公司名稱為必填,Имя Компании обязательный пробел,ชื่อร้านค้าต้องกรอก,Şirket Adı zorunlu alandır,Nama Perusahaan wajib diisi,Nome da empresa é requerido,Polje naziv tvrtke je potreban,Firmenname ist erforderlich
config_company_website_url,A cég webcime nem érvényes URL (http://...),Webseite ist nicht in korrektem Format,De website van het bedrijf is geen geldige URL (http://...),Sitio Web no es una URL estándar (http://...),Company website is not a valid URL (http://...),Le site web de l'entreprise n'est pas une URL valide (http://...),公司網址格式錯誤 (http://...),Веб-сайт Компании не является допустимым URL (http://...),เว็บไซต์ร้านค้าไม่ถูกต้อง,website adresi yanlış (http://...),Situs Perusahaan bukan URL yang benar(http://...),Site da empresa não é uma URL válida (http: // ...),Adresa web stranice nije valjana (http://...),Webseite ist nicht in korrektem Format
config_comma,comma,comma,comma,coma,comma,comma,comma,comma,comma,comma,comma,Vírgula,comma,comma
config_country_codes,Country Codes,Country Codes,Country Codes,Codigo de pais,Country Codes,Country Codes,Country Codes,Country Codes,Country Codes,Country Codes,Country Codes,Código do país,Country Codes,Ländercodes
config_country_codes_tooltip,Comma separated list of country codes for nominatim address lookup.,Comma separated list of country codes for nominatim address lookup.,Comma separated list of country codes for nominatim address lookup.,Lista de codigo de paises separado por coma para busqueda de direcciones,Comma separated list of country codes for nominatim address lookup.,Comma separated list of country codes for nominatim address lookup.,Comma separated list of country codes for nominatim address lookup.,Comma separated list of country codes for nominatim address lookup.,Comma separated list of country codes for nominatim address lookup.,Comma separated list of country codes for nominatim address lookup.,Comma separated list of country codes for nominatim address lookup.,Vírgula lista de códigos de país separado para pesquisa de endereços nominatim.,Comma separated list of country codes for nominatim address lookup.,Kommagetrennte Liste der Ländercodes für den Adressvergleich.
config_currency_symbol,Pénznem,Währungssymbol,Valuta,Símbolo de moneda,Currency Symbol,Symbole Monétaire,貨幣符號,Символ валюты,สัญลักษณ์ค่าเงิน,Para Birimi,Simbol Mata Uang,Simbolo moeda,Valutna oznaka,Währungssymbol
config_currency_decimals,Currency Decimals,Currency Decimals,Currency Decimals,Decimales de moneda,Currency Decimals,Currency Decimals,Currency Decimals,Currency Decimals,Currency Decimals,Currency Decimals,Currency Decimals,Decimais moeda,Velutne decimale,Währungsdezimalzahlen
config_custom1,Egyedi mező 1,Zusatzfeld 1,Custom Veld 1,Campo Libre 1,Custom Field 1,Champ Personnalisé 1,Custom Field 1,Изготовленный пробел 1,พื้นที่เพิ่มเติม 1,Özel Alan 1,Custom Field 1,Campo customizado 1,Korisničko polje1,Zusatzfeld 1
config_custom2,Egyedi mező 2,Zusatzfeld 2,Custom Veld 2,Campo Libre 2,Custom Field 2,Champ Personnalisé 2,Custom Field 2,Изготовленный пробел 2,พื้นที่เพิ่มเติม 2,Özel Alan 2,Custom Field 2,Campo customizado 2,Korisničko polje2,Zusatzfeld 2
config_custom3,Egyedi mező 3,Zusatzfeld 3,Custom Veld 3,Campo Libre 3,Custom Field 3,Champ Personnalisé 3,Custom Field 3,Изготовленный пробел 3,พื้นที่เพิ่มเติม 3,Özel Alan 3,Custom Field 3,Campo customizado 3,Korisničko polje3,Zusatzfeld 3
config_custom4,Egyedi mező 4,Zusatzfeld 4,Custom Veld 4,Campo Libre 4,Custom Field 4,Champ Personnalisé 4,Custom Field 4,Изготовленный пробел 4,พื้นที่เพิ่มเติม 4,Özel Alan 4,Custom Field 4,Campo customizado 4,Korisničko polje4,Zusatzfeld 4
config_custom5,Egyedi mező 5,Zusatzfeld 5,Custom Veld 5,Campo Libre 5,Custom Field 5,Champ Personnalisé 5,Custom Field 5,Изготовленный пробел 5,พื้นที่เพิ่มเติม 5,Özel Alan 5,Custom Field 5,Campo customizado 5,Korisničko polje5,Zusatzfeld 5
config_custom6,Egyedi mező 6,Zusatzfeld 6,Custom Veld 6,Campo Libre 6,Custom Field 6,Champ Personnalisé 6,Custom Field 6,Изготовленный пробел 6,พื้นที่เพิ่มเติม 6,Özel Alan 6,Custom Field 6,Campo customizado 6,Korisničko polje6,Zusatzfeld 6
config_custom7,Egyedi mező 7,Zusatzfeld 7,Custom Veld 7,Campo Libre 7,Custom Field 7,Champ Personnalisé 7,Custom Field 7,Изготовленный пробел 7,พื้นที่เพิ่มเติม 7,Özel Alan 7,Custom Field 7,Campo customizado 7,Korisničko polje7,Zusatzfeld 7
config_custom8,Egyedi mező 8,Zusatzfeld 8,Custom Veld 8,Campo Libre 8,Custom Field 8,Champ Personnalisé 8,Custom Field 8,Изготовленный пробел 8,พื้นที่เพิ่มเติม 8,Özel Alan 8,Custom Field 8,Campo customizado 8,Korisničko polje8,Zusatzfeld 8
config_custom9,Egyedi mező 9,Zusatzfeld 9,Custom Veld 9,Campo Libre 9,Custom Field 9,Champ Personnalisé 9,Custom Field 9,Изготовленный пробел 9,พื้นที่เพิ่มเติม 9,Özel Alan 9,Custom Field 9,Campo customizado 9,Korisničko polje9,Zusatzfeld 9
config_custom10,Egyedi mező 10,Zusatzfeld 10,Custom Veld 10,Campo Libre 10,Custom Field 10,Champ Personnalisé 10,Custom Field 10,Изготовленный пробел 10,พื้นที่เพิ่มเติม 10,Özel Alan 10,Custom Field 10,Campo customizado 10,Korisničko polje10,Zusatzfeld 10
config_datetimeformat,Dátum és idő formátum,Datum und Zeit,Date and Time format,Formato de fecha y hora,Date and Time format,Date and Time format,Date and Time format,Date and Time format,รูปแบบวันเวลา,Date and Time format,Date and Time format,Formato da data e hora,Oblik datuma i vremena,Datum und Zeit
config_decimal_point,Tizedes pont,Dezimaltrennzeichen,Decimal Point,Punto Decimal,Decimal Point, Decimal Point,Decimal Point, Decimal Point,จุดทศนิยม, Decimal Point,Titik Desimal,Ponto decimal,Decimalna točka,Dezimaltrennzeichen
config_default_barcode_font_size_number,Az alapértelmezett vonalkód font méretnek számnak kell lennie,Die Barcode Schriftgrösse muss eine Zahl sein,The default barcode font size must be a number,Tamaño de fuente del código de barras debe ser un número,The default barcode font size must be a number,The default barcode font size must be a number,The default barcode font size must be a number,The default barcode font size must be a number,The default barcode font size must be a number,The default barcode font size must be a number,The default barcode font size must be a number,O tamanho da fonte de código de barras padrão deve ser um número,Veličina pisma barkod-a mora biti broj,Die Barcode Schriftgrösse muss eine Zahl sein
config_default_barcode_font_size_required,Az alapértelmezett vonalkód font méret kötelező mező,Die Barcode Schriftgrösse ist erforderlich,The default barcode font size is a required field,Tamaño de fuente del código de barras es requerido,The default barcode font size is a required field,The default barcode font size is a required field,The default barcode font size is a required field,The default barcode font size is a required field,The default barcode font size is a required field,The default barcode font size is a required field,The default barcode font size is a required field,O tamanho da fonte de código de barras padrão é um campo obrigatório,Veličina pisma je potrebna,Die Barcode Schriftgrösse ist erforderlich
config_default_barcode_height_number,Az alapértelmezett vonalkód magasságnak számnak kell lennie,Die Barcode Höhe muss eine Zahl sein,The default barcode height  must be a number,Alto del código de barras debe ser un número,The default barcode height  must be a number,The default barcode height  must be a number,The default barcode height  must be a number,The default barcode height  must be a number,The default barcode height  must be a number,The default barcode height  must be a number,The default barcode height  must be a number,A altura do código de barras padrão deve ser um número,Veličina barkod-a mora biti broj,Die Barcode Höhe muss eine Zahl sein
config_default_barcode_height_required,Az alapértelmezett vonalkód magasság kötelező mező,Die Barcode Höhe ist erforderlich,The default barcode height is a required field,Alto del código de barras es requerido,The default barcode height is a required field,The default barcode height is a required field,The default barcode height is a required field,The default barcode height is a required field,The default barcode height is a required field,The default barcode height is a required field,The default barcode height is a required field,A altura do código de barras padrão é um campo obrigatório,Veličina barkod-a je potrebna,Die Barcode Höhe ist erforderlich
config_default_barcode_num_in_row_number,Az alapértelmezett vonalkód száma a sorbannak számnak kell lennie,Die Barcode Num muss eine Zahl sein,The default barcode num in row must be a number,Número por fila del código de barras debe ser un número,The default barcode num in row must be a number,The default barcode num in row must be a number,The default barcode num in row must be a number,The default barcode num in row must be a number,The default barcode num in row must be a number,The default barcode num in row must be a number,The default barcode num in row must be a number,O número de código de barras padrão na linha deve ser um número,Broj u redu barkod-a mora biti broj,Die Barcode Num muss eine Zahl sein
config_default_barcode_num_in_row_required,Az alapértelmezett vonalkód szám a sorban kötelező mező,Die Barcode Num ist erforderlich,The default barcode num in row is a required field,Número por fila del código de barras es requerido,The default barcode num in row is a required field,The default barcode num in row is a required field,The default barcode num in row is a required field,The default barcode num in row is a required field,The default barcode num in row is a required field,The default barcode num in row is a required field,The default barcode num in row is a required field,O número de código de barras padrão na linha é um campo obrigatório,Broj u redu barkod-a je potreban,Die Barcode Num ist erforderlich
config_default_barcode_page_cellspacing_number,Vonalkód cellatávolságnak számnak kell lennie,Der Barcode Zellabstand muss eine Zahl sein,The default barcode page cellspacing must be a number,Espacios de celdas por página del código de barras debe ser un número,The default barcode page cellspacing must be a number,The default barcode page cellspacing must be a number,The default barcode page cellspacing must be a number,The default barcode page cellspacing must be a number,The default barcode page cellspacing must be a number,The default barcode page cellspacing must be a number,The default barcode page cellspacing must be a number,O espaçamento das células na página de código de barras padrão deve ser um número,Razmak barkod-a mora biti broj,Der Barcode Zellabstand muss eine Zahl sein
config_default_barcode_page_cellspacing_required,Vonalkód cellatávolság kötelező mező.,Der Barcode Zellabstand ist erforderlich,The default barcode page cellspacing is a required field,Espacios de celdas por página del código de barras es requerido,The default barcode page cellspacing is a required field,The default barcode page cellspacing is a required field,The default barcode page cellspacing is a required field,The default barcode page cellspacing is a required field,The default barcode page cellspacing is a required field,The default barcode page cellspacing is a required field,The default barcode page cellspacing is a required field,O espaçamento das células na página de código de barras padrão é um campo obrigatório,Vonalkód cellatávolság kötelező mező.,Der Barcode Zellabstand ist erforderlich
config_default_barcode_page_width_number,Az alapértelmezett vonalkód oldal szélességnek számnak kell lennie,Die Barcode Seitenbreite muss eine Zahl sein,The default barcode page width must be a number,Ancho de página del código de barras debe ser un número,The default barcode page width must be a number,The default barcode page width must be a number,The default barcode page width must be a number,The default barcode page width must be a number,The default barcode page width must be a number,The default barcode page width must be a number,The default barcode page width must be a number,A largura da página de código de barras padrão deve ser um número,Širina stranice barkod-a mora biti broj,Die Barcode Seitenbreite muss eine Zahl sein
config_default_barcode_page_width_required,Az alapértelmezett vonalkód oldal szésesség kötelező.,Die Barcode Seitenbreite ist erforderlich,The default barcode page width is a required field,Ancho de página del código de barras es requerido,The default barcode page width is a required field,The default barcode page width is a required field,The default barcode page width is a required field,The default barcode page width is a required field,The default barcode page width is a required field,The default barcode page width is a required field,The default barcode page width is a required field,A largura da página de código de barras padrão é um campo obrigatório,Širina stranice barkod-a je potrebna,Die Barcode Seitenbreite ist erforderlich
config_default_barcode_quality_number,Az alapértelmezett vonalkód minőségnek számnak kell lennie,Die Barcode Qualität muss eine Zahl sein,The default barcode quality must be a number,Calidad del código de barras debe ser un número,The default barcode quality must be a number,The default barcode quality must be a number,The default barcode quality must be a number,The default barcode quality must be a number,The default barcode quality must be a number,The default barcode quality must be a number,The default barcode quality must be a number,A qualidade de código de barras padrão deve ser um número,Kvaliteta barkod-a mora biti broj,Die Barcode Qualität muss eine Zahl sein
config_default_barcode_quality_required,Az alapértelmezett vonalkód minőség kötelező mező,Die Barcode Qualität ist erforderlich,The default barcode quality is a required field,Calidad del código de barras es requerido,The default barcode quality is a required field,The default barcode quality is a required field,The default barcode quality is a required field,The default barcode quality is a required field,The default barcode quality is a required field,The default barcode quality is a required field,The default barcode quality is a required field,A qualidade de código de barras padrão é um campo obrigatório,Kvaliteta barkod-a je potrebna,Die Barcode Qualität ist erforderlich
config_default_barcode_width_number,Az alapértelmezett vonalkód szélességnek számnak kell lennie,Die Barcode Breite muss eine Zahl sein,The default barcode width must be a number,Ancho del código de barras debe ser número,The default barcode width must be a number,The default barcode width must be a number,The default barcode width must be a number,The default barcode width must be a number,The default barcode width must be a number,The default barcode width must be a number,The default barcode width must be a number,A largura do código de barras padrão deve ser um número,Az alapértelmezett vonalkód szélességnek számnak kell lennie,Die Barcode Breite muss eine Zahl sein
config_default_barcode_width_required,Az alapértelmezett vonalkód szélesség kötelező mező,Die Barcode Breite ist erforderlich,The default barcode width is a required field,Ancho del código de barras es requerido,The default barcode width is a required field,The default barcode width is a required field,The default barcode width is a required field,The default barcode width is a required field,The default barcode width is a required field,The default barcode width is a required field,The default barcode width is a required field,A largura do código de barras padrão é um campo obrigatório,Širina barkod-a mora bit broj,Die Barcode Breite ist erforderlich
config_default_sales_discount,Alapértelmezett kedvezmény %,Standard Verkaufsrabatt,Standaard Korting %,% de Descuento en Ventas predeterminado,Default Sales Discount %,Default Sales Discount %,Default Sales Discount %,Default Sales Discount %,Default Sales Discount %,Default Sales Discount %,Default Sales Discount %,Desconto de vendas padrão %,Zadani popust %,Standard Verkaufsrabatt
config_default_sales_discount_number,Alapértelmezett kedvezménynek számnak kell lennie,Der Standard Verkaufsrabatt muss eine Zahl sein,The default sales discount must be a number,Descuento en ventas predeterminado debe ser un número,The default sales discount must be a number,The default sales discount must be a number,The default sales discount must be a number,The default sales discount must be a number,The default sales discount must be a number,The default sales discount must be a number,The default sales discount must be a number,O desconto de vendas padrão deve ser um número,Zadani popust mora biti broj,Der Standard Verkaufsrabatt muss eine Zahl sein
config_default_sales_discount_required,Alapértelmezett kedvezmény kötelező mező,Der Standard Verkaufsrabatt ist erforderlich,The default sales discount is a required field,Descuento en ventas predeterminado es requerido,The default sales discount is a required field,The default sales discount is a required field,The default sales discount is a required field,The default sales discount is a required field,The default sales discount is a required field,The default sales discount is a required field,The default sales discount is a required field,O desconto de vendas padrão é um campo obrigatório,Zadani popust je potreban,Der Standard Verkaufsrabatt ist erforderlich
config_default_tax_rate,Alapértelmezett adó %,MWSt %,Standaard VAT %,% de Impuestos Predeterminado,Default Tax Rate %,Taux d'Imposition par Défaut,預設稅率 %,Обычный ставка налога %,อัตราภาษีเริ่มต้น %,Varsayılan Vergi Oranı %,Tarif Pajak Biasa%,Imposto Tarifa Padrão %,Porez %,MWSt %
config_default_tax_rate_1,Adó 1,MWSt 1,VAT 1 %,Impuesto 1,Tax 1 Rate,Taux d'Imposition 1,稅率 1,ставка налога 1,อัตราภาษี 1,Vergi Oranı 1,Tarif Pajak 1,Imposto 1 Tarifa,Porez 1 %,MWSt 1
config_default_tax_rate_2,Adó 2,MWSt 2,VAT 2 %,Impuesto 2,Tax 2 Rate,Taux d'Imposition 2,稅率 2,ставка налога 2,อัตราภาษี 2,Vergi Oranı 2,Tarif Pajak 2,Imposto 2 Tarifa,Porez 2 %,MWSt 2
config_default_tax_rate_number,Az alapértelmezett adónak számnak kell lennie,MWSt Rate,Het percentage VAT moet een nummer zijn,El Impuesto Predeterminado debe ser un número,The default tax rate must be a number,Le taux d'imposition doit etre un nombre,預設稅率必需為數字,Обычный ставка налога должен быть цифра,อัตราภาษีเริ่มต้นต้องเป็นตัวเลข,Varsayılan Vergi Oranı sayı olmalıdır,Tarif Pajak Biasa harus angka,A taxa de Imposto padrão deve ser um número,Zadani porez mora biti broj,MWSt Rate
config_default_tax_rate_required,Az alapértelmezett adó kötelező mező,MWSt ist erforderlich,Het percentage VAT moet ingevuld worden,El Impuesto Predeterminado es requerido,The default tax rate is a required field,Le taux d'imposition par défaut est requis,預設稅率為必填,Обычный ставка налога обязательный пробел,อัตราภาษีเริ่มต้นต้องกรอก,Varsayılan Vergi Oranı zorunlu alandır,Tarif Pajak Biasa wajib diisi,A taxa de Imposto padrão é um campo obrigatório,Zadani porez je potreban,MWSt ist erforderlich
config_default_tax_name_required,Alapértelmezett adó név kötelező mező,The default tax name is a required field,De naam van de VAT moet ingevuld worden,El nombre del impuesto predeterminado es requerido,The default tax name is a required field,The default tax name is a required field,The default tax name is a required field,The default tax name is a required field,The default tax name is a required field,The default tax name is a required field,The default tax name is a required field,Nome da taxa padrão é requerida,Naziv poreza je poteban,Standardsteuerfeld ist erforderlich.
config_dot,dot,dot,dot,punto,dot,dot,dot,dot,dot,dot,dot,ponto,dot,dot
config_email,Email,Email,Email,Email,Email,Email,Email,Email,Email,Email,Email,email,Email,Email
config_email_configuration,Email Configuration,Email Configuration,Email Configuration,Configuracion de correo,Email Configuration,Email Configuration,Email Configuration,Email Configuration,Email Configuration,Email Configuration,Email Configuration,Email Configuration,Email Configuration,Email Konfiguration
config_email_protocol,Protocol,Protocol,Protocol,Protocolo,Protocol,Protocol,Protocol,Protocol,Protocol,Protocol,Protocol,Protocolo,Protocol,Protokoll
config_email_mailpath,Path to Sendmail,Path to Sendmail,Path to Sendmail,Rurta a Sendmail,Path to Sendmail,Path to Sendmail,Path to Sendmail,Path to Sendmail,Path to Sendmail,Path to Sendmail,Path to Sendmail,Caminho para Sendmail,Path to Sendmail,Pfad zu Sendmail
config_email_smtp_host,SMTP Server,SMTP Server,SMTP Server,SMTP Server,SMTP Server,SMTP Server,SMTP Server,SMTP Server,SMTP Server,SMTP Server,SMTP Server,Servidor SMTP,SMTP Server,SMTP Server
config_email_smtp_port,SMTP Port,SMTP Port,SMTP Port,SMTP Port,SMTP Port,SMTP Port,SMTP Port,SMTP Port,SMTP Port,SMTP Port,SMTP Port,Porta SMTP,SMTP Port,SMTP Port
config_email_smtp_crypto,SMTP Encryption,SMTP Encryption,SMTP Encryption,SMTP Encryption,SMTP Encryption,SMTP Encryption,SMTP Encryption,SMTP Encryption,SMTP Encryption,SMTP Encryption,SMTP Encryption,Criptografia SMTP,SMTP Encryption,SMTP Verschlüsselung
config_email_smtp_timeout,SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s),SMTP Timeout (s)
config_email_smtp_user,SMTP Username,SMTP Username,SMTP Username,SMTP Username,SMTP Username,SMTP Username,SMTP Username,SMTP Username,SMTP Username,SMTP Username,SMTP Username,Nome de usuário SMTP,SMTP Username,SMTP Benutzername
config_email_smtp_pass,SMTP Password,SMTP Password,SMTP Password,SMTP Password,SMTP Password,SMTP Password,SMTP Password,SMTP Password,SMTP Password,SMTP Password,SMTP Password,Senha SMTP ,SMTP Password,SMTP Passwort
config_fax,Fax,Fax,Fax,Fax,Fax,Fax,傳真,Факс,แฟ็กซ์,Faks,Fax,Fax,Fax,Fax
config_general,Általános,Einstellungen,Algemene,General,General,General,General,General,ตั้งค่าทั่วไป,General,General,Gerais,Opća,Einstellungen
config_general_configuration,Általános beállitás,Einstellungen,Algemene Instellingen,Configuración General,General Configuration,General Configuration,General Configuration,General Configuration,ตั้งค่าทั่วไป,General Configuration,General Configuration,Configurações Gerais,Opća konfiguracija,Einstellungen
config_info,Információk,Instellungen,Instellingen,Información,Information,Entreprise,儲存組態,информация о магазин конфигурация,ข้อมูลร้านค้า,Mağaza yapılandırma bilgisi,Informasi,Informações,Info,Generelle Einstellungen
config_info_configuration,Bolt információk,Instellungen,Instellingen,Información del Comercio,Store Information,Çonfiguration de l'Entreprise,儲存組態,информация о магазин конфигурация,ข้อมูลร้านค้า,Mağaza yapılandırma bilgisi,Informasi Toko,Informações da loja,Info o web trgovini,Generelle Einstellungen
config_invoice,Számla,Rechnungs,Factuur,Factura,Invoice,Invoice,Invoice,Invoice,Invoice,Invoice,Invoice,Fatura,Račun,Rechnungs
config_invoice_configuration,Nyomtatási beállitások,Druckereinstellungen,Print Instellingen,Parámetros de Impresión,Invoice Print Settings,Invoice Print Settings,Invoice Print Settings,Invoice Print Settings,Invoice Print Settings,Invoice Print Settings,Invoice Print Settings,Configuração de Impressão,Postavke štamapnja,Druckereinstellungen
